"Chick_ENSEMBL","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000009544",85437,"ZCRB1","ZCRB1",417791,"No"
"ENSGALG00000009545",8604,"SLC25A12","SLC25A12",431387,"No"
"ENSGALG00000009547",51535,"PPHLN1","PPHLN1",417792,"No"
"ENSGALG00000009549",3840,"KPNA4","KPNA4",425012,"No"
"ENSGALG00000009551",1781,"DYNC1I2","DYNC1I2",424151,"No"
"ENSGALG00000009552",284194,"LGALS9B","LOC423277",423277,"No"
"ENSGALG00000009552",29124,"LGALS13","LOC423277",423277,"No"
"ENSGALG00000009552",1178,"CLC","LOC423277",423277,"No"
"ENSGALG00000009552",56891,"LGALS14","LOC423277",423277,"No"
"ENSGALG00000009552",654346,"LGALS9C","LOC423277",423277,"No"
"ENSGALG00000009552",3965,"LGALS9","LOC423277",423277,"No"
"ENSGALG00000009552",148003,"LGALS16","LOC423277",423277,"No"
"ENSGALG00000009553",10051,"SMC4","SMC4",395189,"No"
"ENSGALG00000009554",11275,"KLHL2","KLHL2",422422,"No"
"ENSGALG00000009556",144165,"PRICKLE1","PRICKLE1",417793,"No"
"ENSGALG00000009559",57560,"IFT80","IFT80",425014,"No"
"ENSGALG00000009560",6307,"MSMO1","MSMO1",422423,"No"
"ENSGALG00000009562",26499,"PLEK2","PLEK2",423278,"No"
"ENSGALG00000009564",79828,"METTL8","METTL8",424154,"No"
"ENSGALG00000009565",1965,"EIF2S1","EIF2S1",423279,"No"
"ENSGALG00000009566",55699,"IARS2","IARS2",421346,"No"
"ENSGALG00000009567",7092,"TLL1","TLL1",395441,"No"
"ENSGALG00000009568",50859,"SPOCK3","SPOCK3",422425,"No"
"ENSGALG00000009569",9874,"TLK1","TLK1",424155,"No"
"ENSGALG00000009570",51382,"ATP6V1D","ATP6V1D",423280,"No"
"ENSGALG00000009572",80070,"ADAMTS20","ADAMTS20",417794,"No"
"ENSGALG00000009573",11199,"ANXA10","ANXA10",770326,"No"
"ENSGALG00000009574",3592,"IL12A","IL12A",407090,"No"
"ENSGALG00000009576",10380,"BPNT1","BPNT1",421347,"No"
"ENSGALG00000009577",83448,"PUS7L","PUS7L",417795,"No"
"ENSGALG00000009581",64398,"MPP5","MPP5",423281,"No"
"ENSGALG00000009583",26003,"GORASP2","GORASP2",424156,"No"
"ENSGALG00000009586",51135,"AC093012.1","IRAK4",417796,"No"
"ENSGALG00000009587",10243,"GPHN","GPHN",428878,"No"
"ENSGALG00000009592",6727,"SRP14","SRP14",423284,"No"
"ENSGALG00000009593",64747,"MFSD1","MFSD1",425017,"No"
"ENSGALG00000009594",5918,"RARRES1","RARRES1",395209,"No"
"ENSGALG00000009595",5756,"TWF1","TWF1",417797,"No"
"ENSGALG00000009596",84216,"TMEM117","TMEM117",417798,"No"
"ENSGALG00000009598",2058,"EPRS1","EPRS",421348,"No"
"ENSGALG00000009601",4753,"NELL2","NELL2",417799,"No"
"ENSGALG00000009602",140469,"MYO3B","MYO3B",424157,"No"
"ENSGALG00000009603",NA,NA,"NA",NA,"No"
"ENSGALG00000009604",440097,"DBX2","DBX2",417801,"Transcription Factor"
"ENSGALG00000009606",NA,NA,"NA",NA,"No"
"ENSGALG00000009608",130507,"UBR3","NULL",NA,"No"
"ENSGALG00000009610",118672,"PSTK","PSTK",771778,"No"
"ENSGALG00000009611",440275,"EIF2AK4","EIF2AK4",423285,"No"
"ENSGALG00000009612",7042,"TGFB2","TGFB2",421352,"No"
"ENSGALG00000009615",51018,"RRP15","RRP15",421353,"No"
"ENSGALG00000009616",128153,"SPATA17","SPATA17",421354,"No"
"ENSGALG00000009619",11245,"GPR176","GPR176",428879,"No"
"ENSGALG00000009621",NA,NA,"NA",NA,"No"
"ENSGALG00000009622",NA,NA,"NA",NA,"No"
"ENSGALG00000009624",161835,"FSIP1","FSIP1",423286,"No"
"ENSGALG00000009626",7057,"THBS1","THBS1",373987,"No"
"ENSGALG00000009627",55105,"GPATCH2","GPATCH2",421355,"No"
"ENSGALG00000009628",NA,NA,"NA",NA,"No"
"ENSGALG00000009633",79768,"KATNBL1","KATNBL1",423287,"No"
"ENSGALG00000009634",85476,"GFM1","GFM1",425018,"No"
"ENSGALG00000009637",56851,"EMC7","EMC7",423288,"No"
"ENSGALG00000009638",196527,"ANO6","ANO6",417802,"No"
"ENSGALG00000009639",55601,"DDX60","DDX60",422427,"No"
"ENSGALG00000009640",1133,"CHRM5","CHRM5",428881,"No"
"ENSGALG00000009641",1278,"COL1A2","COL1A2",396243,"No"
"ENSGALG00000009642",57099,"AVEN","AVEN",395127,"No"
"ENSGALG00000009645",2104,"ESRRG","ESRRG",421357,"Transcription Factor"
"ENSGALG00000009650",NA,NA,"NA",NA,"No"
"ENSGALG00000009651",56925,"LXN","LXN",771519,"No"
"ENSGALG00000009652",7399,"USH2A","USH2A",421358,"No"
"ENSGALG00000009653",64921,"CASD1","CASD1",420565,"No"
"ENSGALG00000009654",NA,NA,"NA",NA,"No"
"ENSGALG00000009655",51166,"AADAT","AADAT",428728,"No"
"ENSGALG00000009667",9848,"MFAP3L","MFAP3L",428729,"No"
"ENSGALG00000009668",54969,"HPF1","HPF1",422431,"No"
"ENSGALG00000009669",51319,"RSRC1","RSRC1",425020,"No"
"ENSGALG00000009670",8910,"SGCE","SGCE",420567,"No"
"ENSGALG00000009674",1182,"CLCN3","CLCN3",422432,"No"
"ENSGALG00000009676",29081,"METTL5","METTL5",771367,"No"
"ENSGALG00000009677",6741,"SSB","SSB",395268,"No"
"ENSGALG00000009678",51133,"KCTD3","SHKBP1",421359,"No"
"ENSGALG00000009680",164091,"PAQR7","PAQR7",425505,"No"
"ENSGALG00000009681",9184,"BUB3","BUB3",423949,"No"
"ENSGALG00000009682",79674,"VEPH1","NULL",NA,"No"
"ENSGALG00000009683",4750,"NEK1","NEK1",422433,"No"
"ENSGALG00000009684",2849,"GPR26","GPR26",423950,"No"
"ENSGALG00000009686",55607,"PPP1R9A","PPP1R9A",420568,"No"
"ENSGALG00000009687",3776,"KCNK2","KCNK2",770954,"No"
"ENSGALG00000009689",5444,"PON1","PON1",395830,"No"
"ENSGALG00000009689",5446,"PON3","PON1",395830,"No"
"ENSGALG00000009689",5445,"PON2","PON1",395830,"No"
"ENSGALG00000009690",1063,"CENPF","CENPF",395357,"No"
"ENSGALG00000009691",51666,"ASB4","ASB4",420569,"No"
"ENSGALG00000009692",57630,"SH3RF1","SH3RF1",422434,"No"
"ENSGALG00000009693",119587,"CPXM2","NULL",NA,"No"
"ENSGALG00000009698",81539,"SLC38A1","SLC38A1",417806,"No"
"ENSGALG00000009699",57018,"CCNL1","CCNL1",425024,"No"
"ENSGALG00000009700",5166,"PDK4","PDK4",420570,"No"
"ENSGALG00000009703",374291,"NDUFS7","NDUFS7",770724,"No"
"ENSGALG00000009704",51363,"CHST15","CHST15",423952,"No"
"ENSGALG00000009705",6263,"RYR3","RYR3",396111,"No"
"ENSGALG00000009709",NA,"AC236972.4","MUM1L1",425514,"No"
"ENSGALG00000009709",84939,"PWWP3A","MUM1L1",425514,"No"
"ENSGALG00000009709",139221,"PWWP3B","MUM1L1",425514,"No"
"ENSGALG00000009714",84869,"CBR4","CBR4",422435,"No"
"ENSGALG00000009718",9679,"FAM53B","NULL",NA,"No"
"ENSGALG00000009719",57575,"PCDH10","PCDH10",408048,"No"
"ENSGALG00000009722",1780,"DYNC1I1","DYNC1I1",420571,"No"
"ENSGALG00000009723",342184,"FMN1","FMN1",386747,"No"
"ENSGALG00000009724",26585,"GREM1","GREM1",395826,"No"
"ENSGALG00000009725",6447,"SCG5","SCG5",769742,"No"
"ENSGALG00000009728",10165,"SLC25A13","SLC25A13",428427,"No"
"ENSGALG00000009730",55089,"SLC38A4","SLC38A4",417809,"No"
"ENSGALG00000009731",89839,"ARHGAP11B","ARHGAP11B",423289,"No"
"ENSGALG00000009731",9824,"ARHGAP11A","ARHGAP11B",423289,"No"
"ENSGALG00000009731",NA,"ARHGAP11B","ARHGAP11B",423289,"No"
"ENSGALG00000009732",54510,"PCDH18","PCDH18",422438,"No"
"ENSGALG00000009733",NA,NA,"NA",NA,"No"
"ENSGALG00000009737",6863,"TAC1","TAC1",420573,"No"
"ENSGALG00000009738",1488,"CTBP2","CTBP2",423958,"No"
"ENSGALG00000009739",347902,"AMIGO2","AMIGO2",417810,"No"
"ENSGALG00000009740",10125,"RASGRP1","RASGRP1",423290,"No"
"ENSGALG00000009743",79657,"RPAP3","RPAP3",417811,"No"
"ENSGALG00000009744",283742,"FAM98B","FAM98B",423291,"No"
"ENSGALG00000009747",91419,"ATP23","ATP23",417812,"No"
"ENSGALG00000009748",440,"ASNS","ASNS",420574,"No"
"ENSGALG00000009752",56913,"C1GALT1","C1GALT1",420575,"No"
"ENSGALG00000009755",121227,"LRIG3","LRIG3",417813,"No"
"ENSGALG00000009758",23657,"SLC7A11","SLC7A11",428731,"No"
"ENSGALG00000009759",9194,"SLC16A7","SLC16A7",417815,"No"
"ENSGALG00000009774",1998,"ELF2","ELF2",422439,"Transcription Factor"
"ENSGALG00000009782",80155,"NAA15","NAA15",422440,"No"
"ENSGALG00000009784",5784,"PTPN14","PTPN14",421360,"No"
"ENSGALG00000009787",119467,"CLRN3","CLRN3",423961,"No"
"ENSGALG00000009788",56950,"SMYD2","SMYD2",421361,"No"
"ENSGALG00000009790",83452,"RAB33B","RAB33B",422441,"No"
"ENSGALG00000009791",5629,"PROX1","PROX1",395802,"Transcription Factor"
"ENSGALG00000009792",728588,"MS4A18","LOC422442",422442,"No"
"ENSGALG00000009792",932,"MS4A3","LOC422442",422442,"No"
"ENSGALG00000009792",503497,"MS4A13","LOC422442",422442,"No"
"ENSGALG00000009792",341116,"MS4A10","LOC422442",422442,"No"
"ENSGALG00000009792",2206,"MS4A2","LOC422442",422442,"No"
"ENSGALG00000009792",58475,"MS4A7","LOC422442",422442,"No"
"ENSGALG00000009792",245802,"MS4A6E","LOC422442",422442,"No"
"ENSGALG00000009792",64232,"MS4A5","LOC422442",422442,"No"
"ENSGALG00000009792",84689,"MS4A14","LOC422442",422442,"No"
"ENSGALG00000009792",64231,"MS4A6A","LOC422442",422442,"No"
"ENSGALG00000009792",219995,"MS4A15","LOC422442",422442,"No"
"ENSGALG00000009795",23041,"MON2","MON2",417818,"No"
"ENSGALG00000009796",26750,"RPS6KC1","RPS6KC1",421362,"No"
"ENSGALG00000009800",80854,"SETD7","SETD7",422443,"No"
"ENSGALG00000009801",84529,"C15orf41","C5H15orf41",423293,"No"
"ENSGALG00000009802",90806,"ANGEL2","ANGEL2",421363,"No"
"ENSGALG00000009803",4258,"MGST2","MGST2",770916,"No"
"ENSGALG00000009805",57460,"PPM1H","PPM1H",771760,"No"
"ENSGALG00000009807",28982,"FLVCR1","FLVCR1",421365,"No"
"ENSGALG00000009809",55534,"MAML3","NULL",NA,"No"
"ENSGALG00000009811",128387,"TATDN3","TATDN3",421366,"No"
"ENSGALG00000009813",60592,"SCOC","SCOC",422446,"No"
"ENSGALG00000009814",25936,"NSL1","NSL1",421367,"No"
"ENSGALG00000009815",10329,"RXYLT1","TMEM5",417820,"No"
"ENSGALG00000009817",54989,"ZNF770","AQR",423296,"Transcription Factor"
"ENSGALG00000009821",29937,"NENF","NENF",421370,"No"
"ENSGALG00000009822",55248,"PACC1","TMEM206",421371,"No"
"ENSGALG00000009823",5791,"PTPRE","PTPRE",423962,"No"
"ENSGALG00000009825",57522,"SRGAP1","SRGAP1",417821,"No"
"ENSGALG00000009826",1047,"CLGN","CLGN",422447,"No"
"ENSGALG00000009828",5525,"PPP2R5A","PPP2R5A",421372,"No"
"ENSGALG00000009830",152586,"MGAT4D","MGAT4D",422448,"No"
"ENSGALG00000009835",11260,"XPOT","XPOT",417824,"No"
"ENSGALG00000009836",255520,"ELMOD2","ELMOD2",422449,"No"
"ENSGALG00000009837",51514,"DTL","DTL",421373,"No"
"ENSGALG00000009838",9716,"AQR","AQR",423296,"No"
"ENSGALG00000009839",9360,"PPIG","PPIG",424162,"No"
"ENSGALG00000009840",29110,"TBK1","TBK1",417825,"No"
"ENSGALG00000009841",79675,"FASTKD1","FASTKD1",424163,"No"
"ENSGALG00000009842",283349,"RASSF3","RASSF3",417828,"No"
"ENSGALG00000009843",25896,"INTS7","INTS7",421374,"No"
"ENSGALG00000009844",NA,NA,"NA",NA,"No"
"ENSGALG00000009845",57369,"GJD2","GJD2",395273,"No"
"ENSGALG00000009846",NA,"AC093899.2","BBS5",424165,"No"
"ENSGALG00000009846",129880,"BBS5","BBS5",424165,"No"
"ENSGALG00000009847",29091,"STXBP6","STXBP6",423299,"No"
"ENSGALG00000009848",9926,"LPGAT1","LPGAT1",421375,"No"
"ENSGALG00000009850",4857,"NOVA1","NOVA1",423300,"No"
"ENSGALG00000009854",4751,"NEK2","NEK2",421376,"No"
"ENSGALG00000009855",23158,"TBC1D9","TBC1D9",422452,"No"
"ENSGALG00000009856",2799,"GNS","GNS",417829,"No"
"ENSGALG00000009858",7779,"SLC30A1","NULL",NA,"No"
"ENSGALG00000009859",23329,"TBC1D30","TBC1D30",417830,"No"
"ENSGALG00000009861",343035,"RD3","RD3",421378,"No"
"ENSGALG00000009864",7188,"TRAF5","TRAF5",374055,"No"
"ENSGALG00000009865",57484,"RNF150","RNF150",100858072,"No"
"ENSGALG00000009868",27309,"ZNF330","ZNF330",422453,"No"
"ENSGALG00000009870",3600,"IL15","IL15",395258,"No"
"ENSGALG00000009871",55758,"RCOR3","RCOR3",421380,"Transcription Factor"
"ENSGALG00000009873",23592,"LEMD3","LEMD3",417832,"No"
"ENSGALG00000009875",NA,NA,"NA",395851,"Transcription Factor"
"ENSGALG00000009877",NA,"AC092017.3","KCNH1",421381,"No"
"ENSGALG00000009877",3756,"KCNH1","KCNH1",421381,"No"
"ENSGALG00000009877",NA,"AL590132.1","KCNH1",421381,"No"
"ENSGALG00000009879",51643,"TMBIM4","TMBIM4",771874,"No"
"ENSGALG00000009879",NA,"AC078927.1","TMBIM4",771874,"No"
"ENSGALG00000009880",8821,"INPP4B","INPP4B",422454,"No"
"ENSGALG00000009881",55733,"HHAT","HHAT",771269,"No"
"ENSGALG00000009884",255928,"SYT14","SYT14",428566,"No"
"ENSGALG00000009885",92797,"HELB","HELB",417836,"No"
"ENSGALG00000009886",84640,"USP38","USP38",422455,"No"
"ENSGALG00000009887",27042,"UTP25","DIEXF",421384,"No"
"ENSGALG00000009890",55173,"MRPS10","MRPS10",421385,"No"
"ENSGALG00000009895",23426,"GRIP1","GRIP1",427863,"No"
"ENSGALG00000009896",55809,"TRERF1","TRERF1",421386,"Transcription Factor"
"ENSGALG00000009898",2549,"GAB1","GAB1",422456,"No"
"ENSGALG00000009900",5587,"PRKD1","PRKD1",423302,"No"
"ENSGALG00000009901",8445,"DYRK2","DYRK2",427864,"No"
"ENSGALG00000009902",149465,"CFAP57","CFAP57",424559,"No"
"ENSGALG00000009903",3458,"IFNG","IFNG",396054,"No"
"ENSGALG00000009904",50616,"IL22","IL22",417838,"No"
"ENSGALG00000009905",56890,"MDM1","MDM1",417839,"No"
"ENSGALG00000009906",23304,"UBR2","UBR2",421387,"No"
"ENSGALG00000009907",55632,"G2E3","G2E3",423305,"No"
"ENSGALG00000009909",5961,"PRPH2","PRPH2",395899,"No"
"ENSGALG00000009911",23506,"BICRAL","GLTSCR1L",428568,"No"
"ENSGALG00000009913",8467,"SMARCA5","SMARCA5",422457,"Transcription Factor"
"ENSGALG00000009915",27436,"EML4","EML4",771345,"No"
"ENSGALG00000009916",23256,"SCFD1","SCFD1",423307,"No"
"ENSGALG00000009919",170850,"KCNG3","KCNG3",421393,"No"
"ENSGALG00000009920",1690,"COCH","COCH",395779,"No"
"ENSGALG00000009925",57504,"MTA3","MTA3",421395,"Transcription Factor"
"ENSGALG00000009926",23498,"HAAO","HAAO",421396,"No"
"ENSGALG00000009927",5908,"RAP1B","RAP1B",417840,"No"
"ENSGALG00000009929",50964,"SOST","SOST",429784,"No"
"ENSGALG00000009932",63892,"THADA","THADA",421398,"No"
"ENSGALG00000009934",57122,"NUP107","NUP107",101751988,"No"
"ENSGALG00000009935",NA,NA,"NA",NA,"No"
"ENSGALG00000009936",11154,"AP4S1","AP4S1",423309,"No"
"ENSGALG00000009939",8405,"SPOP","SPOP",425528,"No"
"ENSGALG00000009940",55508,"SLC35E3","SLC35E3",417842,"No"
"ENSGALG00000009942",4193,"MDM2","MDM2",395609,"No"
"ENSGALG00000009943",81558,"FAM117A","FAM117A",112530395,"No"
"ENSGALG00000009944",11143,"KAT7","KAT7",425530,"No"
"ENSGALG00000009945",1368,"CPM","CPM",417843,"No"
"ENSGALG00000009946",25831,"HECTD1","HECTD1",423310,"No"
"ENSGALG00000009947",130271,"PLEKHH2","PLEKHH2",421399,"No"
"ENSGALG00000009948",64399,"HHIP","HHIP",422460,"No"
"ENSGALG00000009954",51626,"DYNC2LI1","DYNC2LI1",421400,"No"
"ENSGALG00000009955",64240,"ABCG5","ABCG5",421401,"No"
"ENSGALG00000009957",7075,"TIE1","TIE1",424562,"No"
"ENSGALG00000009958",64241,"ABCG8","ABCG8",421402,"No"
"ENSGALG00000009959",NA,"AC025263.2","RAB3IP",417850,"No"
"ENSGALG00000009959",117177,"RAB3IP","RAB3IP",417850,"No"
"ENSGALG00000009961",6059,"ABCE1","ABCE1",422462,"No"
"ENSGALG00000009963",4069,"LYZ","LYZ",396218,"No"
"ENSGALG00000009965",NA,NA,"NA",NA,"No"
"ENSGALG00000009966",10818,"FRS2","FRS2",417845,"No"
"ENSGALG00000009967",10128,"LRPPRC","LRPPRC",421403,"No"
"ENSGALG00000009968",54726,"OTUD4","OTUD4",422463,"No"
"ENSGALG00000009971",991,"CDC20","CDC20",424563,"No"
"ENSGALG00000009973",6519,"SLC3A1","SLC3A1",428569,"No"
"ENSGALG00000009974",166785,"MMAA","MMAA",422464,"No"
"ENSGALG00000009975",10576,"CCT2","CCT2",417846,"No"
"ENSGALG00000009977",4086,"SMAD1","SMAD1",395680,"Transcription Factor"
"ENSGALG00000009978",112487,"DTD2","DTD2",770817,"No"
"ENSGALG00000009981",9581,"PREPL","PREPL",421405,"No"
"ENSGALG00000009982",152485,"ZNF827","ZNF827",422465,"Transcription Factor"
"ENSGALG00000009983",80224,"NUBPL","NUBPL",423312,"No"
"ENSGALG00000009985",11157,"LSM6","LSM6",422466,"No"
"ENSGALG00000009988",64834,"ELOVL1","ELOVL1",424564,"No"
"ENSGALG00000009990",55133,"SRBD1","SRBD1",421408,"No"
"ENSGALG00000009992",394,"ARHGAP5","ARHGAP5",428883,"No"
"ENSGALG00000009993",112950,"MED8","MED8",424565,"No"
"ENSGALG00000009995",9472,"AKAP6","AKAP6",423314,"No"
"ENSGALG00000010000",5581,"PRKCE","PRKCE",421409,"No"
"ENSGALG00000010001",112399,"EGLN3","EGLN3",423316,"No"
"ENSGALG00000010005",2034,"EPAS1","EPAS1",395596,"Transcription Factor"
"ENSGALG00000010006",84068,"SLC10A7","SLC10A7",422467,"No"
"ENSGALG00000010007",55837,"EAPP","EAPP",423319,"No"
"ENSGALG00000010009",83894,"TTC29","TTC29",422468,"No"
"ENSGALG00000010010",23433,"RHOQ","RHOQ",395114,"No"
"ENSGALG00000010013",1909,"EDNRA","EDNRA",373908,"No"
"ENSGALG00000010014",9419,"CRIPT","CRIPT",421412,"No"
"ENSGALG00000010016",9655,"SOCS5","SOCS5",428570,"No"
"ENSGALG00000010017",90411,"MCFD2","MCFD2",421413,"No"
"ENSGALG00000010018",NA,NA,"NA",NA,"No"
"ENSGALG00000010019",55751,"TMEM184C","TMEM184C",422469,"No"
"ENSGALG00000010020",57217,"TTC7A","TTC7A",421414,"No"
"ENSGALG00000010022",90826,"PRMT9","PRMT9",422470,"No"
"ENSGALG00000010023",805,"CALM2","CALM2",395855,"No"
"ENSGALG00000010025",58533,"SNX6","SNX32",771038,"No"
"ENSGALG00000010026",5500,"PPP1CB","PPP1CB",396019,"No"
"ENSGALG00000010027",1073,"CFL2","CFL2",423320,"No"
"ENSGALG00000010029",144453,"BEST3","BEST3",417849,"No"
"ENSGALG00000010030",11177,"BAZ1A","NULL",NA,"No"
"ENSGALG00000010031",79658,"ARHGAP10","ARHGAP10",422471,"No"
"ENSGALG00000010032",NA,NA,"NA",NA,"No"
"ENSGALG00000010034",NA,NA,"NA",NA,"No"
"ENSGALG00000010035",4306,"NR3C2","NR3C2",374131,"Transcription Factor"
"ENSGALG00000010036",2355,"FOSL2","FOSL2",421416,"Transcription Factor"
"ENSGALG00000010039",9577,"BABAM2","BRE",421417,"No"
"ENSGALG00000010042",4848,"CNOT2","CNOT2",417851,"No"
"ENSGALG00000010043",64080,"RBKS","RBKS",421418,"No"
"ENSGALG00000010044",27345,"KCNMB4","KCNMB4",417852,"No"
"ENSGALG00000010046",283635,"FAM177A1","FAM177A1",423323,"No"
"ENSGALG00000010047",22950,"SLC4A1AP","SLC4A1AP",421420,"No"
"ENSGALG00000010048",9913,"SUPT7L","SUPT7L",421421,"No"
"ENSGALG00000010049",5787,"PTPRB","PTPRB",417853,"No"
"ENSGALG00000010050",57497,"LRFN2","LRFN2",428571,"No"
"ENSGALG00000010051",4337,"MOCS1","MOCS1",395270,"No"
"ENSGALG00000010052",55012,"PPP2R3C","PPP2R3C",423324,"No"
"ENSGALG00000010053",5792,"PTPRF","PTPRF",424568,"No"
"ENSGALG00000010055",23500,"DAAM2","DAAM2",421422,"No"
"ENSGALG00000010057",221458,"KIF6","KIF6",428572,"No"
"ENSGALG00000010060",5687,"PSMA6","PSMA6",423326,"No"
"ENSGALG00000010061",987,"LRBA","LRBA",422476,"No"
"ENSGALG00000010068",89822,"KCNK17","KCNK17",421423,"No"
"ENSGALG00000010073",1650,"DDOST","DDOST",425542,"No"
"ENSGALG00000010074",9682,"KDM4A","KDM4A",424571,"No"
"ENSGALG00000010074",NA,"AL451062.4","KDM4A",424571,"No"
"ENSGALG00000010077",6189,"RPS3A","RPS3A",422477,"No"
"ENSGALG00000010078",2740,"GLP1R","GLP1R",428573,"No"
"ENSGALG00000010079",50809,"HP1BP3","HP1BP3",425543,"No"
"ENSGALG00000010081",152503,"SH3D19","SH3D19",422478,"No"
"ENSGALG00000010083",6487,"ST3GAL3","ST3GAL3",424572,"No"
"ENSGALG00000010084",8672,"EIF4G3","EIF4G3",425544,"No"
"ENSGALG00000010087",9670,"IPO13","IPO13",424573,"No"
"ENSGALG00000010088",253959,"RALGAPA1","RALGAPA1",423327,"No"
"ENSGALG00000010089",1802,"DPH2","DPH2",424574,"No"
"ENSGALG00000010090",729830,"FAM160A1","NULL",NA,"No"
"ENSGALG00000010091",533,"ATP6V0B","ATP6V0B",424575,"No"
"ENSGALG00000010093",84312,"BRMS1L","BRMS1L",423328,"No"
"ENSGALG00000010094",8704,"B4GALT2","B4GALT2",396122,"No"
"ENSGALG00000010096",51562,"MBIP","MBIP",423329,"No"
"ENSGALG00000010097",5188,"GATB","GATB",422480,"No"
"ENSGALG00000010098",6536,"SLC6A9","SLC6A9",424576,"No"
"ENSGALG00000010103",55294,"FBXW7","FBXW7",422481,"No"
"ENSGALG00000010104",55929,"DMAP1","DMAP1",424578,"No"
"ENSGALG00000010106",79033,"ERI3","ERI3",424579,"No"
"ENSGALG00000010108",132321,"C4orf33","C4H4orf33",422485,"No"
"ENSGALG00000010109",55182,"RNF220","RNF220",424580,"No"
"ENSGALG00000010110",79639,"TMEM53","TMEM53",424581,"No"
"ENSGALG00000010114",5083,"PAX9","PAX9",395740,"Transcription Factor"
"ENSGALG00000010116",1769,"DNAH8","DNAH8",100858112,"No"
"ENSGALG00000010117",89874,"SLC25A21","SLC25A21",423330,"No"
"ENSGALG00000010118",145282,"MIPOL1","MIPOL1",423331,"No"
"ENSGALG00000010119",8999,"CDKL2","CDKL2",428736,"No"
"ENSGALG00000010120",11004,"KIF2C","KIF2C",424583,"No"
"ENSGALG00000010122",63898,"SH2D4A","SH2D4A",422487,"No"
"ENSGALG00000010124",6202,"RPS8","RPS8",424584,"No"
"ENSGALG00000010125",55790,"CSGALNACT1","CSGALNACT1",422488,"No"
"ENSGALG00000010127",2739,"GLO1","GLO1",421428,"No"
"ENSGALG00000010129",1263,"PLK3","PLK3",424586,"No"
"ENSGALG00000010130",55174,"INTS10","INTS10",422489,"No"
"ENSGALG00000010131",114781,"BTBD9","BTBD9",421429,"No"
"ENSGALG00000010133",8643,"PTCH2","PTCH2",374187,"No"
"ENSGALG00000010136",138050,"HGSNAT","HGSNAT",422490,"No"
"ENSGALG00000010137",319089,"TTC6","NULL",NA,"No"
"ENSGALG00000010139",6751,"SSTR1","SSTR1",771648,"No"
"ENSGALG00000010140",8891,"EIF2B3","EIF2B3",424587,"No"
"ENSGALG00000010145",266727,"MDGA1","MDGA1",421431,"No"
"ENSGALG00000010147",644019,"CBWD6","CBWD1",427347,"No"
"ENSGALG00000010147",445571,"CBWD3","CBWD1",427347,"No"
"ENSGALG00000010147",220869,"CBWD5","CBWD1",427347,"No"
"ENSGALG00000010149",23070,"CMTR1","CMTR1",421434,"No"
"ENSGALG00000010150",10484,"SEC23A","SEC23A",423335,"No"
"ENSGALG00000010151",154467,"CCDC167","CCDC167",421433,"No"
"ENSGALG00000010152",7103,"TSPAN8","TSPAN8",417854,"No"
"ENSGALG00000010154",8487,"GEMIN2","GEMIN2",423336,"No"
"ENSGALG00000010156",81704,"DOCK8","DOCK8",427348,"No"
"ENSGALG00000010157",122553,"TRAPPC6B","TRAPPC6A",423337,"No"
"ENSGALG00000010158",23189,"KANK1","KANK1",395475,"No"
"ENSGALG00000010160",1761,"DMRT1","NULL",769693,"Transcription Factor"
"ENSGALG00000010161",58524,"DMRT3","DMRT3",431641,"Transcription Factor"
"ENSGALG00000010163",8549,"LGR5","LGR5",427867,"No"
"ENSGALG00000010164",6595,"SMARCA2","SMARCA2",396040,"No"
"ENSGALG00000010165",202500,"TCTE1","TCTE1",421437,"No"
"ENSGALG00000010166",7436,"VLDLR","VLDLR",396154,"No"
"ENSGALG00000010167",5411,"PNN","PNN",423338,"No"
"ENSGALG00000010169",NA,"AL353588.1","TMEM151B",428574,"No"
"ENSGALG00000010169",441151,"TMEM151B","TMEM151B",428574,"No"
"ENSGALG00000010170",27152,"INTU","NULL",NA,"No"
"ENSGALG00000010173",169522,"KCNV2","KCNV2",431642,"No"
"ENSGALG00000010174",347734,"SLC35B2","SLC35B2",428575,"No"
"ENSGALG00000010175",3326,"HSP90AB1","HSP90AB1",396188,"No"
"ENSGALG00000010177",196441,"ZFC3H1","ZFC3H1",417855,"No"
"ENSGALG00000010178",9933,"PUM3","PUM3",427350,"No"
"ENSGALG00000010179",5991,"RFX3","RFX3",427351,"Transcription Factor"
"ENSGALG00000010180",169792,"GLIS3","GLIS3",431643,"Transcription Factor"
"ENSGALG00000010182",2030,"SLC29A1","SLC29A1",421439,"No"
"ENSGALG00000010183",23011,"RAB21","RAB21",771383,"No"
"ENSGALG00000010185",22824,"HSPA4L","HSPA4L",422496,"No"
"ENSGALG00000010186",11131,"CAPN11","CAPN11",396240,"No"
"ENSGALG00000010187",6505,"SLC1A1","SLC1A1",427352,"No"
"ENSGALG00000010189",4253,"MIA2","MIA2",423339,"No"
"ENSGALG00000010189",100142659,"CTAGE8","MIA2",423339,"No"
"ENSGALG00000010189",441294,"CTAGE15","MIA2",423339,"No"
"ENSGALG00000010189",340307,"CTAGE6","MIA2",423339,"No"
"ENSGALG00000010189",100128553,"CTAGE4","MIA2",423339,"No"
"ENSGALG00000010189",64693,"CTAGE1","MIA2",423339,"No"
"ENSGALG00000010189",643854,"CTAGE9","MIA2",423339,"No"
